Persona_ID,Persona_Name,Country_Context,Care_Setting,Clinical_or_Operational_Domain,Role_Description,Typical_Integration_Use_Cases,Primary_Systems,FHIR_Resource_Touchpoints,HL7v2_Message_Touchpoints,Data_Access_Level,BulletTrain_Technical_Role,BulletTrain_Scopes,SMART_on_FHIR_Equivalent_Scopes,Data_Sensitivity_Allowed,Purpose_of_Use_Default,Regulatory_Constraints,Authentication_Requirements,RBAC_Level,Audit_Expectation,Segregation_of_Duties_Notes,UK_NHS_NRBAC_Notes,USA_HIPAA_Minimum_Necessary_Notes,Kenya_Context_Notes,Config_Notes
P011,Receptionist / Registrar,UK,Primary Care / Hospital Front Desk,Administrative,Registers patients and manages appointments.,Create demographics; schedule; update contact info; verify identity.,"Registration, Scheduling","Patient, Appointment, RelatedPerson, AuditEvent","ADT, SIU",Read/Write (Demographics/Appts),patient_service,patient.read appointment.read audit.read patient.write appointment.write,user/Patient.read user/Appointment.read user/Patient.write user/Appointment.write,Low,Healthcare Operations,UK GDPR; NHS policies,NHS Smartcard (limited) + MFA,Restricted,Audit demographic changes,No access to clinical notes,Map to NRBAC demographic admin/receptionist activities,N/A,N/A,Restrict to demographics and scheduling
P012,NHS Registration Authority (RA) Agent,UK,NHS Identity & Access,IAM,Manages smartcard identities and role assignments.,Issue identities; assign roles; unlock cards; audit access provisioning.,"IAM, Directory services",N/A,N/A,Admin (IAM only),admin,iam.* audit.read,N/A,Low,Healthcare Operations,UK NHS IAM policies,Smartcard + MFA + Privileged Access,High,Full audit of provisioning actions,No clinical access,Directly relevant to NRBAC positioning,N/A,N/A,Separate IAM admin scopes from clinical
P013,Caldicott Guardian / Privacy Officer,UK,Governance,Governance,Senior person responsible for patient information governance.,Review access patterns; approve disclosures; oversee consent policies.,"Audit service, Consent management","Consent, AuditEvent, Patient",N/A,Read (Audit/Consent),auditor,consent.read audit.read patient.read,user/Consent.read user/AuditEvent.read user/Patient.read,High,Healthcare Operations,UK GDPR; NHS IG,MFA + Elevated Role,High,Audit access reviews,No role granting; separate from RA agent,Use NRBAC privacy roles/alerts where applicable,N/A,N/A,Keep read-only to audit/consent
P014,Attending Physician,USA,Hospital,Clinical,Lead physician for inpatient care.,Document encounters; order labs/imaging; prescribe; review results.,"EHR, CPOE, LIS, RIS","Patient, Encounter, Observation, DiagnosticReport, MedicationRequest, Consent, AuditEvent","ORM, ORU, ADT",Read/Write/Update,clinician_service,patient.read encounter.read observation.read diagnosticreport.read medicationrequest.read consent.read audit.read encounter.write observation.write medicationrequest.write,user/Patient.read user/Encounter.read user/Observation.read user/DiagnosticReport.read user/MedicationRequest.read user/Consent.read user/Encounter.write user/Observation.write user/MedicationRequest.write,High,Treatment,HIPAA Privacy Rule; HIPAA Security Rule,MFA + SSO,High,Audit all clinical actions,No admin privileges,N/A,Minimum necessary by duty and patient relationship,N/A,Separate prescribing vs documentation scopes where possible
P015,Resident Physician,USA,Hospital,Clinical,Physician in training with supervised privileges.,Draft notes; propose orders; update observations under supervision.,"EHR, LIS, RIS","Patient, Encounter, Observation, ServiceRequest, AuditEvent","ORM, ORU, ADT",Read/Write (limited),clinician_service,patient.read encounter.read observation.read servicerequest.read audit.read encounter.write observation.write servicerequest.write,user/Patient.read user/Encounter.read user/Observation.read user/ServiceRequest.read user/Encounter.write user/Observation.write user/ServiceRequest.write,Medium,Treatment,HIPAA,MFA + SSO,Medium,Audit drafts and sign-offs,Requires co-signature workflows,N/A,Constrain to minimum necessary; require attestation,N/A,Use workflow flags for supervision
P016,Registered Nurse,USA,Hospital,Clinical,Provides nursing care and documentation.,Record vitals; administer meds; care coordination updates.,"EHR, Nursing system","Patient, Observation, MedicationAdministration, Encounter, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read observation.read encounter.read audit.read observation.write encounter.write,user/Patient.read user/Observation.read user/Encounter.read user/Observation.write user/Encounter.write,Medium,Treatment,HIPAA,MFA + SSO,Medium,Audit medication administration,No medication prescribing,N/A,Minimum necessary: no psychotherapy notes,N/A,Limit high-sensitivity resources
P017,Nurse Practitioner / PA,USA,Clinic/Hospital,Clinical,Advanced practice clinician with prescribing privileges.,Document visits; order; prescribe; coordinate follow-up.,"EHR, eRx","Patient, Encounter, Observation, MedicationRequest, ServiceRequest, AuditEvent","ORM, ORU",Read/Write/Update,clinician_service,patient.read encounter.read observation.read medicationrequest.read servicerequest.read audit.read encounter.write observation.write medicationrequest.write servicerequest.write,user/Patient.read user/Encounter.read user/Observation.read user/MedicationRequest.read user/ServiceRequest.read user/Encounter.write user/Observation.write user/MedicationRequest.write user/ServiceRequest.write,High,Treatment,HIPAA,MFA + SSO,High,Audit prescribing,Separate from billing admin,N/A,Minimum necessary: role-based access by clinic,N/A,Include eRx workflow validation
P018,Pharmacist,USA,Hospital/Pharmacy,Pharmacy,Dispenses and reconciles medications.,Verify orders; dispense; medication reconciliation; alerts.,"Pharmacy system, EHR","MedicationRequest, MedicationDispense, MedicationStatement, Patient, AuditEvent","RDE, ORU",Read/Write,clinician_service,patient.read medicationrequest.read medicationdispense.read audit.read medicationdispense.write,user/Patient.read user/MedicationRequest.read user/MedicationDispense.read user/MedicationDispense.write,High,Treatment,HIPAA,MFA + SSO,High,Audit dispense events,No user admin,N/A,Apply minimum necessary; segregate narcotics workflows,N/A,Consider controlled substances flags
P019,Medical Laboratory Scientist,USA,Hospital Lab,Laboratory,Performs lab testing and releases results.,Process specimens; record results; verify abnormal values; QC.,"LIS, EHR","ServiceRequest, Specimen, Observation, DiagnosticReport, Patient, AuditEvent","ORM, ORU",Read/Write,clinician_service,patient.read servicerequest.read specimen.read observation.read diagnosticreport.read audit.read specimen.write observation.write diagnosticreport.write,user/Patient.read user/ServiceRequest.read user/Specimen.read user/Observation.read user/DiagnosticReport.read user/Specimen.write user/Observation.write user/DiagnosticReport.write,High,Treatment,HIPAA,MFA + SSO,High,Audit result release,No demographic edits,N/A,Restrict to lab workflows per minimum necessary,N/A,Limit to lab resources
P020,Radiology Technologist,USA,Imaging,Imaging,Performs imaging procedures and uploads studies.,Receive orders; capture imaging study metadata; route to radiologist.,RIS/PACS,"ImagingStudy, ServiceRequest, Patient, AuditEvent","ORM, ORU",Read/Write (Imaging),clinician_service,patient.read imagingstudy.read servicerequest.read audit.read imagingstudy.write,user/Patient.read user/ImagingStudy.read user/ServiceRequest.read user/ImagingStudy.write,High,Treatment,HIPAA,MFA + SSO,Medium,Audit study creation,No report finalisation,N/A,Minimum necessary; restrict viewing full chart,N/A,No DiagnosticReport.write
P021,Care Coordinator,USA,Hospital/ACO,Care Coordination,Coordinates referrals and transitions of care.,Manage discharge follow-up; referrals; update care plan; messaging.,"Care management platform, EHR","CarePlan, Task, Patient, Encounter, AuditEvent","SIU, ADT",Read/Write,clinician_service,patient.read careplan.read task.read encounter.read audit.read careplan.write task.write,user/Patient.read user/CarePlan.read user/Task.read user/Encounter.read user/CarePlan.write user/Task.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Medium,Audit care plan updates,No prescribing,N/A,Minimum necessary; limit to assigned panel,N/A,Use patient-panel constraints
P022,Billing / Claims Specialist,USA,Revenue Cycle,Billing,Creates claims and manages billing data.,Generate billing events; submit claims; reconcile payments.,"Billing system, EHR","Patient, Coverage, Claim, ExplanationOfBenefit, AuditEvent",DFT,Read/Write (Billing),patient_service,patient.read coverage.read claim.read explanationofbenefit.read audit.read claim.write explanationofbenefit.write,user/Patient.read user/Coverage.read user/Claim.read user/Claim.write,Medium,Payment,HIPAA,MFA + SSO,Restricted,Audit claim changes,No clinical note access,N/A,Minimum necessary: avoid clinical details beyond billing,N/A,Restrict to billing resources
P023,Health Information Management (HIM) Release of Information,USA,HIM Department,Records,"Manages ROI, record corrections, and document handling.",Process requests; apply consent; release documents; log disclosures.,"Document management, EHR","DocumentReference, Consent, Patient, AuditEvent","MDM, ADT",Read/Write (Docs),patient_service,patient.read documentreference.read consent.read audit.read documentreference.write,user/Patient.read user/DocumentReference.read user/Consent.read user/DocumentReference.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Restricted,Audit disclosures,No clinical edits,N/A,Minimum necessary; track disclosures,N/A,Enforce disclosure workflows
P024,Privacy Officer / Compliance,USA,Governance,Governance,Investigates incidents and oversees privacy compliance.,Review audit logs; investigate access; approve policy exceptions.,"Audit service, IAM","AuditEvent, Consent, Patient",N/A,Read (Audit/Consent),auditor,audit.read consent.read patient.read,user/AuditEvent.read user/Consent.read user/Patient.read,High,Healthcare Operations,HIPAA,MFA + Privileged Access,High,Audit access reviews and incidents,Separate from IAM provisioning,N/A,Strongly tied to HIPAA audit controls,N/A,Keep read-only to audit/consent
P025,Security Administrator (Health IT),USA,IT/Security,IT Operations,"Manages IAM, access policies, and security monitoring.",Provision accounts; manage RBAC; rotate keys; incident response.,"IAM, SIEM, Integration Engine",N/A,N/A,Admin (IT),admin,iam.* audit.read,N/A,Low,System,HIPAA Security Rule,MFA + PAM,High,Audit provisioning and privileged actions,Separate from clinical roles,N/A,Ensure least privilege and PAM,N/A,Split admin vs auditor personas
P026,Medical Officer,Kenya,County Hospital,Clinical,Doctor providing diagnosis and treatment in facility care.,Document visits; order tests; prescribe; referrals; consent checks.,"EHR/EMR, LIS, Integration Engine","Patient, Encounter, Observation, MedicationRequest, ServiceRequest, Consent, AuditEvent","ADT, ORM, ORU",Read/Write/Update,clinician_service,patient.read encounter.read observation.read medicationrequest.read servicerequest.read consent.read audit.read encounter.write observation.write medicationrequest.write servicerequest.write,user/Patient.read user/Encounter.read user/Observation.read user/MedicationRequest.read user/ServiceRequest.read user/Consent.read user/Encounter.write user/Observation.write user/MedicationRequest.write user/ServiceRequest.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,High,Audit clinical actions,Separate from system admin,N/A,N/A,Align with Kenyan confidentiality duties,Include purpose-of-use defaults
P027,Clinical Officer,Kenya,Health Centre,Clinical,Mid-level clinician providing primary care.,Record consultations; order basic labs; treat; refer as needed.,"EMR, Integration Engine","Patient, Encounter, Observation, ServiceRequest, Consent, AuditEvent","ADT, ORM, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read servicerequest.read consent.read audit.read encounter.write observation.write servicerequest.write,user/Patient.read user/Encounter.read user/Observation.read user/ServiceRequest.read user/Consent.read user/Encounter.write user/Observation.write user/ServiceRequest.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Medium,Audit clinical actions,No IAM admin,N/A,N/A,Common cadre in Kenya facilities,Consider supervision constraints where applicable
P028,Nursing Officer,Kenya,County Hospital,Clinical,Registered nurse responsible for inpatient nursing care.,Record vitals; medication admin; nursing notes; discharge prep.,"EMR, Ward system","Patient, Observation, MedicationAdministration, Encounter, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read observation.read encounter.read audit.read observation.write encounter.write,user/Patient.read user/Observation.read user/Encounter.read user/Observation.write user/Encounter.write,Medium,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Medium,Audit observations/med admin,No prescribing,N/A,N/A,Ensure confidentiality; restrict sensitive notes,Keep write to observations
P029,Midwife,Kenya,Maternity,Clinical,Provides maternity and newborn care.,Record maternity visits; update care plans; refer complications.,"EMR, Maternity register","Patient, Encounter, Observation, CarePlan, Consent, AuditEvent","ADT, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read consent.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Consent.read user/Encounter.write user/Observation.write user/CarePlan.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,High,Audit maternity updates,No IAM admin,N/A,N/A,Maternity data treated as high sensitivity,Set sensitivity high
P030,Pharmacist,Kenya,County Hospital,Pharmacy,Dispenses medication and manages inventory.,Verify prescription; dispense; update stock; report consumption.,"Pharmacy system, EMR","MedicationRequest, MedicationDispense, Patient, AuditEvent","RDE, ORU",Read/Write,clinician_service,patient.read medicationrequest.read medicationdispense.read audit.read medicationdispense.write,user/Patient.read user/MedicationRequest.read user/MedicationDispense.read user/MedicationDispense.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,High,Audit dispense events,Separate narcotics approvals,N/A,N/A,Use inventory restrictions,No medicationrequest.write unless prescriber
P031,Lab Technologist,Kenya,County Hospital Lab,Laboratory,Runs tests and enters results into LIS/EMR.,Receive orders; record results; verify critical values.,"LIS, EMR","ServiceRequest, Specimen, Observation, DiagnosticReport, Patient, AuditEvent","ORM, ORU",Read/Write,clinician_service,patient.read servicerequest.read specimen.read observation.read diagnosticreport.read audit.read specimen.write observation.write diagnosticreport.write,user/Patient.read user/ServiceRequest.read user/Specimen.read user/Observation.read user/DiagnosticReport.read user/Specimen.write user/Observation.write user/DiagnosticReport.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,High,Audit result release,No demographic edits,N/A,N/A,Align to KenyaEMR-style lab roles (where used),Limit write to lab resources
P032,Radiographer,Kenya,Imaging,Imaging,Performs imaging procedures and manages study capture.,Schedule imaging; capture imaging study; route to clinician.,RIS/PACS,"ImagingStudy, ServiceRequest, Patient, AuditEvent","ORM, ORU, SIU",Read/Write (Imaging),clinician_service,patient.read imagingstudy.read servicerequest.read audit.read imagingstudy.write,user/Patient.read user/ImagingStudy.read user/ServiceRequest.read user/ImagingStudy.write,High,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Medium,Audit imaging capture,No report authoring,N/A,N/A,Resource-constrained settings: offline workflows may exist,Keep DiagnosticReport.write out
P033,Health Records & Information Officer (HRIO),Kenya,Facility Records,Records,"Registers patients, manages records, filing and retrieval.",Register patient; update demographics; manage file retrieval; generate reports.,"Registration, EMR","Patient, Appointment, DocumentReference, AuditEvent","ADT, SIU",Read/Write (Demographics/Docs),patient_service,patient.read appointment.read documentreference.read audit.read patient.write appointment.write documentreference.write,user/Patient.read user/Appointment.read user/DocumentReference.read user/Patient.write user/Appointment.write user/DocumentReference.write,Medium,Healthcare Operations,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Restricted,Audit demographic edits and disclosures,No clinical notes editing,N/A,N/A,Recognised health records cadre in Kenya,Restrict clinical content access
P034,Facility Data Clerk (HMIS),Kenya,Facility / County Reporting,Public Health,Captures aggregate indicators and submits to national systems.,Aggregate reporting; submit counts; data quality checks; exports.,"KHIS (DHIS2), EMR extracts","Measure, Observation (aggregate proxies), AuditEvent",N/A,Read/Write (Aggregate),patient_service,aggregate.write aggregate.read audit.read,N/A,Low,Public Health,Kenya Data Protection Act; MoH reporting policies,Username + MFA,Restricted,Audit submissions,No patient-level clinical access by default,N/A,N/A,Separate aggregate vs patient-level access,Use de-identified/aggregate outputs
P035,County Health Management Team (CHMT) Analyst,Kenya,County Level,Public Health,Analyses county data and performance indicators.,View dashboards; run analytics; approve submissions; investigate anomalies.,"KHIS (DHIS2), Analytics tools",N/A (aggregate),N/A,Read (Aggregate),auditor,aggregate.read audit.read,N/A,Low,Public Health,Kenya Data Protection Act,MFA,Restricted,Audit access to dashboards,No facility-level user provisioning,N/A,N/A,Role is not clinical; avoid PHI,Keep as aggregate-only persona
P036,Community Health Promoter / CHW,Kenya,Community,Community Health,Provides community follow-up and basic data capture.,Record household visits; appointment reminders; referrals to facility.,"Community health app, EMR (limited)","Patient (limited), Appointment, Task, AuditEvent",SIU,Read/Write (limited),patient_service,patient.read appointment.read task.read audit.read appointment.write task.write,user/Patient.read user/Appointment.read user/Task.read user/Appointment.write user/Task.write,Low,Treatment,Kenya Health Act 2017; Kenya Data Protection Act,Username + MFA,Restricted,Audit outreach actions,No sensitive notes access,N/A,N/A,Minimise PHI on mobile devices,Consider device security controls
P037,Emergency Physician,USA,Emergency Department,Clinical,ED doctor providing urgent assessment and treatment.,Triage support; rapid ordering; discharge summaries; trauma workflows.,"ED System, EHR","Patient, Encounter, Observation, ServiceRequest, Condition, AuditEvent","ADT, ORM, ORU",Read/Write/Update,clinician_service,patient.read encounter.read observation.read servicerequest.read condition.read audit.read encounter.write observation.write servicerequest.write condition.write,user/Patient.read user/Encounter.read user/Observation.read user/ServiceRequest.read user/Condition.read user/Encounter.write user/Observation.write user/ServiceRequest.write user/Condition.write,High,Treatment,HIPAA,MFA + SSO,High,Audit ED orders and dispositions,Separate from billing,N/A,Minimum necessary; emergency exceptions still audited,N/A,Include break-glass flag support
P038,Paramedic (Pre-hospital),UK,Ambulance Service,Pre-hospital,Pre-hospital clinician capturing observations and handover.,Capture vitals; create pre-arrival encounter; handover to ED.,"Ambulance ePCR, Integration Engine","Patient, Encounter, Observation, AuditEvent","ADT, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read audit.read encounter.write observation.write,user/Patient.read user/Encounter.read user/Observation.read user/Encounter.write user/Observation.write,Medium,Treatment,UK GDPR; NHS policies,Smartcard/MFA (where applicable),Medium,Audit pre-hospital documentation,No access to longitudinal record beyond need,Map to ambulance job roles; local NRBAC where used,N/A,N/A,Limit to encounter context
P039,Dietitian,UK,Hospital/Community,Allied Health,Provides nutrition assessment and plan.,Record assessments; update care plan; coordinate with clinicians.,"EHR, Dietetics system","Patient, Observation, CarePlan, Encounter, AuditEvent",ORU,Read/Write,clinician_service,patient.read observation.read careplan.read encounter.read audit.read observation.write careplan.write encounter.write,user/Patient.read user/Observation.read user/CarePlan.read user/Encounter.read user/Observation.write user/CarePlan.write user/Encounter.write,Medium,Treatment,UK GDPR,Smartcard + MFA,Medium,Audit care plan updates,No medication write,Allied health NRBAC mapping,N/A,N/A,Restrict to relevant care teams
P040,Speech & Language Therapist,UK,Rehab,Allied Health,Assesses speech and swallowing and documents care.,Record assessments; therapy plans; referrals for further evaluation.,"EHR, Rehab system","Patient, Observation, CarePlan, Encounter, AuditEvent",ORU,Read/Write,clinician_service,patient.read observation.read careplan.read encounter.read audit.read observation.write careplan.write encounter.write,user/Patient.read user/Observation.read user/CarePlan.read user/Encounter.read user/Observation.write user/CarePlan.write user/Encounter.write,Medium,Treatment,UK GDPR,Smartcard + MFA,Medium,Audit therapy plan changes,No prescribing,NHS allied health mapping,N/A,N/A,Use team-based access constraints
P041,Mental Health Clinician,USA,Behavioural Health,Clinical,Provides mental health assessment and treatment.,Document therapy sessions; manage care plan; coordinate referrals.,"EHR, Mental health system","Patient, Encounter, Observation, CarePlan, Consent, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read consent.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Consent.read user/Encounter.write user/Observation.write user/CarePlan.write,High,Treatment,HIPAA,MFA + SSO,High,Audit access to sensitive notes,Segregate psychotherapy notes if supported,N/A,Minimum necessary with heightened sensitivity,N/A,Set sensitivity high; consider break-glass constraints
P042,Social Worker,USA,Hospital,Care Coordination,Supports discharge planning and social needs assessment.,Document social history; coordinate services; referrals.,"EHR, Care management","Patient, Encounter, Observation, Task, AuditEvent","ADT, SIU",Read/Write,clinician_service,patient.read encounter.read observation.read task.read audit.read encounter.write observation.write task.write,user/Patient.read user/Encounter.read user/Observation.read user/Task.read user/Encounter.write user/Observation.write user/Task.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Medium,Audit social notes access,No medication write,N/A,Minimum necessary; limit to assigned patients,N/A,Use patient-panel constraints
P043,Case Manager,USA,Hospital,Care Coordination,Coordinates care and utilisation review.,Track length of stay; manage tasks; coordinate discharge.,Care management platform,"Patient, Encounter, Task, AuditEvent",ADT,Read/Write,clinician_service,patient.read encounter.read task.read audit.read task.write,user/Patient.read user/Encounter.read user/Task.read user/Task.write,Medium,Healthcare Operations,HIPAA,MFA + SSO,Medium,Audit care coordination actions,No clinical authoring beyond tasks,N/A,Minimum necessary; avoid clinical notes write,N/A,Scope to Task/CarePlan where used
P044,Operating Theatre Scheduler,UK,Surgical Services,Operations,Manages theatre schedules and resource allocation.,Schedule procedures; coordinate resources; notify teams.,"Scheduling system, EHR (limited)","Appointment, Procedure, Patient, AuditEvent","SIU, ADT",Read/Write (Scheduling),patient_service,patient.read appointment.read procedure.read audit.read appointment.write procedure.write,user/Patient.read user/Appointment.read user/Procedure.read user/Appointment.write user/Procedure.write,Low,Healthcare Operations,UK GDPR,Smartcard + MFA,Restricted,Audit schedule changes,No access to notes,NRBAC: admin/scheduling activity codes,N/A,N/A,Restrict to procedure metadata
